target_wp_x,target_wp_y,pos_x,pos_y,yaw_sin,yaw_cos,velocity,perp_error,heading_error,passed,steer_angle,throttle,reward,reward_total,plan_x1,plan_y1,plan_x2,plan_y2,plan_x3,plan_y3
1.3972785,0.03287435,-1.622011,-1.394762,0.6171142,0.7868736,7.5429444,0.0,0.023523074,0.0,0.03275021502310119,0.05049109779596329,0.0,0.0,0.8747579412118704,0.020580776712941673,1.7489341131759844,0.05336537376318451,2.2245795603654552,-0.5084250421352565
1.3824679,0.032670572,-1.6103952,-1.3855679,0.6171924,0.78681225,7.643765,0.0,0.023627669,0.0,0.034230169631604634,0.04043041775941849,0.0,0.0,0.8747557889138811,0.020672269488176298,1.7488735206856427,0.05449454711640467,2.2125496725551717,-0.5232486419586517
1.367723,0.032157138,-1.5988736,-1.3763514,0.61740685,0.78664404,7.8155384,0.0,0.023507109,0.0,0.035508842908721513,0.02326414208650589,0.0,0.0,0.8747583109526096,0.020566823066875906,1.748821763887584,0.05527153713648514,2.2005130436403477,-0.5384613456989329
1.3529215,0.03172026,-1.5872574,-1.3671635,0.6176285,0.78647,7.5309978,0.0,0.023441454,0.0,0.03662228809474211,0.05174634754419327,0.0,0.0,0.8747596303126411,0.020509392281332972,1.7487656065147543,0.056154124237618896,2.1884618995112253,-0.5536515754924919
1.3381758,0.031102993,-1.5757252,-1.3579546,0.61792076,0.7862404,7.864211,0.0,0.023238646,0.0,0.03755903312901135,0.018433161947727202,0.0,0.0,0.8747637929073652,0.020331978111470583,1.7487145600074152,0.05682905711873665,2.17646634592297,-0.5690338424194217
1.3234328,0.030542025,-1.5641313,-1.348827,0.6182466,0.78598416,7.969488,0.0,0.023073785,0.0,0.03834841704482093,0.007907286512851715,0.0,0.0,0.8747671085949607,0.02018778101231239,1.748662328724897,0.05755324052004307,2.1644782287817836,-0.584385222661834
1.3087654,0.029817188,-1.552622,-1.3397096,0.6186515,0.7856655,7.9838557,0.0,0.022778744,0.0,0.03897843373769964,0.006471497128009796,0.0,0.0,0.8747729941599354,0.019929664547043646,1.748614385206772,0.058086491966373166,2.152517884387556,-0.5999087257561243
1.2940735,0.028952267,-1.5410647,-1.3306069,0.6191754,0.7852527,7.512334,0.0,0.022369238,0.0,0.03944202757053937,0.05365294253587723,0.0,0.0,0.8747811443628782,0.019571430861478778,1.748573260226637,0.05841773924994731,2.1405052631343198,-0.6157135960702778
1.2793742,0.02803581,-1.5295217,-1.321474,0.6197227,0.78482085,7.846828,0.0,0.021910183,0.0,0.039747601110707464,0.020212721464633942,0.0,0.0,0.8747899482838276,0.019169894976891477,1.7485338102877908,0.058683693067896225,2.1284940661001404,-0.6315974404208893
1.2647344,0.027071066,-1.518008,-1.3123975,0.62032855,0.78434205,7.9521875,0.0,0.021401277,0.0,0.039902497289308475,0.009679634783267974,0.0,0.0,0.8747997056410208,0.01872467960825136,1.7484969990077022,0.05886600172610723,2.116503126265609,-0.6475306945905509
1.2499971,0.02602891,-1.5064125,-1.3032649,0.62100106,0.7838097,7.489901,0.0,0.020820167,0.0,0.03990815231371474,0.055938887951374056,0.0,0.0,0.8748104005849194,0.018216329380402185,1.748463469157,0.05893658182626227,2.1044340996401854,-0.6636972586539847
1.2352896,0.02490737,-1.4948483,-1.2941391,0.62173057,0.7832312,7.6305504,0.0,0.02016045,0.0,0.03976438493623927,0.04189612305879593,0.0,0.0,0.8748221820282788,0.017639171628832773,1.748434336786767,0.058877987184422054,2.092366081648088,-0.679971017873627
1.220526,0.023733297,-1.4832497,-1.2849661,0.6225007,0.7826192,7.8169475,0.0,0.019442689,0.0,0.03947566746339987,0.02326739864587784,0.0,0.0,0.8748346504746357,0.017011286955880056,1.748407668086498,0.058737123822627746,2.080237044687619,-0.6963923448463236
1.205716,0.022544205,-1.4715943,-1.2757893,0.6233199,0.7819669,7.611447,0.0,0.018695595,0.0,0.03905241828577082,0.04384077210664749,0.0,0.0,0.8748470822407207,0.016357645611606464,1.7483829720884858,0.05854347960001394,2.0680754419462293,-0.7129155902290563
